GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-1.20;1.80;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;0.00;0.00;0.00;0.00;
-0.90;2.10;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;0.00;0.00;986.44;1.01;
0.10;3.10;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;0.00;0.00;821.61;1.22;
-0.90;2.10;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;2301.96;0.43;821.61;1.22;
-0.90;1.80;1.00;none;0;0;2.00;1.00;202.00;180.00;1.00;9.00;-1000.00;0.70;2301.96;0.43;798.27;1.25;
-1.20;1.80;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;2301.96;0.43;798.27;1.25;
-0.90;2.10;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;2301.96;0.43;884.20;1.13;
-1.90;1.10;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;2204.28;0.45;884.20;1.13;
-0.70;2.30;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;2204.28;0.45;806.75;1.24;
-0.40;2.60;1.00;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;2204.28;0.45;716.29;1.40;
-0.90;2.10;0.51;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1833.59;0.55;757.97;1.32;
-0.70;2.30;0.53;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1504.26;0.66;874.53;1.14;
-1.20;1.80;0.89;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1419.89;0.70;874.53;1.14;
-0.90;2.10;0.48;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1419.89;0.70;922.27;1.08;
-0.70;2.30;0.48;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1419.89;0.70;860.36;1.16;
-0.70;2.30;0.57;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1333.36;0.75;922.07;1.08;
-0.90;2.10;0.59;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1333.36;0.75;883.52;1.13;
-0.70;2.30;0.28;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1290.21;0.78;852.83;1.17;
-0.90;2.10;0.38;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1290.21;0.78;814.28;1.23;
-1.20;1.80;0.38;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1290.21;0.78;846.19;1.18;
-0.40;2.60;0.34;none;0;0;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1290.21;0.78;839.96;1.19;
