GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;1.00;Buy 7535.40 [-1.40 pts];-150.00;-540.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1599.99;0.63;0.00;0.00;
-5.00;-15.00;1.00;Buy 7535.40 [-1.40 pts];-165.00;-545.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;60.00;1849.84;0.54;0.00;0.00;
-3.33;-3.33;1.00;Buy 7535.40 [-1.40 pts];-166.67;-546.67;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1566.96;0.64;0.00;0.00;
-32.50;-25.00;1.00;Buy 7535.40 [-1.40 pts];-175.00;-557.50;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1425.89;0.70;0.00;0.00;
-2.00;4.00;1.00;Buy 7535.40 [-1.70 pts];-174.00;-558.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1425.89;0.70;2684.39;0.37;
15.00;20.00;1.00;Buy 7535.40 [-1.90 pts];-170.00;-555.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1425.89;0.70;1546.18;0.65;
4.29;0.00;1.00;Buy 7535.40 [-1.90 pts];-170.00;-554.29;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1339.92;0.75;1546.18;0.65;
30.00;26.25;1.00;Buy 7535.40 [-2.20 pts];-166.25;-550.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1339.92;0.75;1695.50;0.59;
0.00;5.56;1.00;Buy 7535.40 [-2.20 pts];-165.56;-550.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1466.89;0.68;1695.50;0.59;
9.00;14.00;1.00;Buy 7535.40 [-2.20 pts];-164.00;-549.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1400.17;0.71;1695.50;0.59;
26.36;21.82;1.56;Buy 7535.40 [-2.20 pts];-161.82;-546.36;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1363.10;0.73;1695.50;0.59;
-3.33;-7.50;0.95;Buy 7535.40 [-1.90 pts];-162.50;-546.67;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1363.10;0.73;1996.60;0.50;
15.38;20.77;1.14;Buy 7535.40 [-1.90 pts];-160.77;-545.38;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1290.27;0.78;1996.60;0.50;
-4.29;0.71;0.69;Buy 7535.40 [-1.70 pts];-160.71;-545.71;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;80.00;1290.27;0.78;1976.91;0.51;
24.00;19.33;1.15;Buy 7535.40 [-1.70 pts];-159.33;-544.00;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1364.69;0.73;1976.91;0.51;
-5.63;-10.00;1.05;Buy 7535.40 [-1.40 pts];-160.00;-544.38;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1364.69;0.73;2014.20;0.50;
-24.12;-28.24;0.77;Buy 7535.40 [-1.20 pts];-161.76;-545.88;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1333.63;0.75;1940.46;0.52;
-3.89;-7.78;0.83;Buy 7535.40 [-1.40 pts];-162.22;-546.11;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1308.01;0.76;1773.44;0.56;
5.79;-7.37;0.67;Buy 7535.40 [-1.40 pts];-162.63;-545.79;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;60.00;1424.08;0.70;1773.44;0.56;
-13.50;-26.00;0.50;Buy 7535.40 [-1.20 pts];-164.00;-546.50;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;60.00;1424.08;0.70;2398.50;0.42;
-3.33;-5.71;0.50;Buy 7535.40 [-1.20 pts];-164.29;-546.67;310.00;1.00;710.00;250.00;1.00;317.00;-1000.00;70.00;1400.39;0.71;2398.50;0.42;
-3.18;-15.00;0.61;Buy 7535.40 [-1.10 pts];-165.00;-546.82;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1400.39;0.71;2228.86;0.45;
-12.61;-23.91;0.48;Buy 7535.40 [-1.10 pts];-166.09;-547.39;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1384.63;0.72;2228.86;0.45;
-21.67;-32.50;0.68;Buy 7535.40 [-1.10 pts];-167.50;-548.33;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1365.42;0.73;2228.86;0.45;
8.00;-2.40;0.32;Buy 7535.40 [-1.40 pts];-167.60;-548.00;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1365.42;0.73;2226.05;0.45;
7.69;-11.92;0.47;Buy 7535.40 [-1.40 pts];-168.08;-547.69;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;60.00;1348.42;0.74;2226.05;0.45;
7.41;-1.85;0.67;Buy 7535.40 [-1.40 pts];-168.15;-547.41;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1331.99;0.75;2226.05;0.45;
26.43;17.50;1.27;Buy 7535.40 [-1.40 pts];-167.50;-546.43;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1308.54;0.76;2226.05;0.45;
-3.45;-12.07;0.76;Buy 7535.40 [-1.10 pts];-167.93;-546.55;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1308.54;0.76;2357.33;0.42;
6.33;-2.00;1.15;Buy 7535.40 [-1.10 pts];-168.00;-546.33;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1296.22;0.77;2357.33;0.42;
-22.90;-40.65;1.46;Buy 7535.40 [-1.10 pts];-169.35;-547.10;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;60.00;1284.79;0.78;2357.33;0.42;
6.88;-10.31;1.06;Buy 7535.40 [-1.40 pts];-169.69;-546.88;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;60.00;1284.79;0.78;2337.52;0.43;
6.67;-0.30;1.00;Buy 7535.40 [-1.40 pts];-169.70;-546.67;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1315.05;0.76;2337.52;0.43;
6.47;-10.00;0.94;Buy 7535.40 [-1.40 pts];-170.00;-546.47;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;60.00;1303.85;0.77;2337.52;0.43;
35.43;29.14;2.00;Buy 7535.40 [-1.40 pts];-169.14;-545.43;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1293.35;0.77;2337.52;0.43;
5.28;-0.83;1.28;Buy 7535.40 [-1.10 pts];-169.17;-545.28;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1293.35;0.77;2470.57;0.40;
-4.59;-10.54;1.33;Buy 7535.40 [-1.10 pts];-169.46;-545.41;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1286.88;0.78;2470.57;0.40;
-4.47;-0.53;1.17;Buy 7535.40 [-1.10 pts];-169.47;-545.53;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;80.00;1277.66;0.78;2470.57;0.40;
-4.36;-10.26;1.83;Buy 7535.40 [-1.10 pts];-169.74;-545.64;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1269.01;0.79;2470.57;0.40;
-72.50;-78.25;2.83;Buy 7535.40 [-1.10 pts];-171.75;-547.50;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1260.87;0.79;2470.57;0.40;
7.32;1.71;0.96;Buy 7535.40 [-1.90 pts];-171.71;-547.32;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;70.00;1260.87;0.79;2586.32;0.39;
16.90;21.19;1.36;Buy 7535.40 [-1.90 pts];-171.19;-546.90;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;80.00;1220.24;0.82;2586.32;0.39;
-12.79;-8.60;1.04;Buy 7535.40 [-1.60 pts];-171.40;-547.21;300.00;1.00;700.00;250.00;1.00;307.00;-1000.00;80.00;1220.24;0.82;2517.69;0.40;
