GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;1.00;none;-389.00;-389.00;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;298.00;0.00;0.00;0.00;0.00;
-10.00;-10.00;1.00;none;-399.00;-399.00;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;318.00;2701.39;0.37;0.00;0.00;
-6.67;-6.67;1.00;none;-402.33;-402.33;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;237.00;2701.39;0.37;0.00;0.00;
21.25;21.25;1.00;none;-395.25;-395.25;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;268.00;1372.68;0.73;0.00;0.00;
57.00;57.00;1.00;none;-381.00;-381.00;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;218.00;1561.39;0.64;0.00;0.00;
47.50;47.50;1.00;none;-371.50;-371.50;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;267.00;1561.39;0.64;0.00;0.00;
126.43;126.43;1.00;none;-350.43;-350.43;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;267.00;1561.39;0.64;6729.90;0.15;
56.38;56.38;1.00;none;-342.38;-342.38;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;291.00;1678.23;0.60;6729.90;0.15;
25.22;25.22;1.00;none;-339.22;-339.22;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;319.00;1563.05;0.64;6729.90;0.15;
22.70;22.70;1.00;none;-336.70;-336.70;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;248.00;1563.05;0.64;6729.90;0.15;
62.45;62.45;2.73;none;-330.45;-330.45;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;202.00;1370.83;0.73;6729.90;0.15;
57.25;57.25;2.91;none;-325.25;-325.25;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;257.00;1370.83;0.73;6729.90;0.15;
21.46;21.46;3.00;none;-323.46;-323.46;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;225.00;1271.65;0.79;6729.90;0.15;
43.14;43.14;2.62;none;-320.14;-320.14;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;200.00;1137.18;0.88;6729.90;0.15;
40.27;40.27;2.75;none;-317.27;-317.27;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;275.00;1137.18;0.88;6729.90;0.15;
20.88;20.88;3.00;none;-315.88;-315.88;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;212.00;1083.56;0.92;6729.90;0.15;
25.29;25.29;10000000.00;none;-314.29;-314.29;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;206.00;990.00;1.01;6729.90;0.15;
23.89;23.89;10000000.00;none;-312.89;-312.89;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;300.00;990.00;1.01;6729.90;0.15;
105.05;105.05;10000000.00;none;-307.05;-307.05;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;213.00;981.13;1.02;6729.90;0.15;
99.80;99.80;10000000.00;none;-301.80;-301.80;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;225.00;981.13;1.02;6729.90;0.15;
130.29;130.29;10000000.00;none;-295.29;-295.29;340.00;340.00;782.00;442.00;340.00;680.00;-1000.00;251.00;1351.50;0.74;6729.90;0.15;
28.91;28.91;5.98;none;-293.91;-293.91;335.45;335.45;771.55;436.09;335.45;670.91;-1000.00;251.00;1351.50;0.74;8169.46;0.12;
27.65;27.65;2.49;none;-292.65;-292.65;335.65;335.65;772.00;436.35;335.65;671.30;-1000.00;251.00;1351.50;0.74;8169.46;0.12;
108.92;108.92;2.80;none;-287.92;-287.92;335.83;335.83;772.42;436.58;335.83;671.67;-1000.00;165.00;1252.61;0.80;8169.46;0.12;
