GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;0.59;none;-511120.00;-511350.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;5.98;167.14;371.11;2.69;
0.00;-5.00;0.59;none;-511125.00;-511350.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;60.00;5.32;188.02;371.11;2.69;
-53.33;-50.00;0.59;none;-511150.00;-511376.67;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;6.48;154.27;371.11;2.69;
-85.00;-75.00;0.59;none;-511175.00;-511405.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;4.61;216.76;371.11;2.69;
-68.00;-68.00;0.59;none;-511192.00;-511422.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;4.59;217.98;371.11;2.69;
-98.33;-90.00;0.59;none;-511210.00;-511441.67;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;3.84;260.55;371.11;2.69;
78.57;77.14;0.59;none;-511197.14;-511428.57;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;2.94;340.53;371.11;2.69;
68.75;76.25;0.59;none;-511186.25;-511418.75;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;2.79;358.10;371.11;2.69;
70.00;67.78;0.59;none;-511177.78;-511410.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;2.56;390.88;371.11;2.69;
-81.00;-83.00;0.59;none;-511187.00;-511419.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;2.13;469.00;371.11;2.69;
-100.91;-93.64;10000000.00;none;-511196.36;-511429.09;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;2.16;462.77;371.11;2.69;
-129.17;-122.50;14.00;none;-511207.50;-511440.83;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;2.16;462.77;370.45;2.70;
-100.77;-94.62;8.08;none;-511215.38;-511449.23;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;2.16;462.77;369.50;2.71;
-65.71;-69.29;7.58;none;-511220.71;-511454.29;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;24.42;40.95;369.50;2.71;
106.67;103.33;1.88;none;-511213.33;-511446.67;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;24.42;40.95;370.03;2.70;
43.75;40.63;1.35;none;-511210.63;-511443.75;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;24.42;40.95;369.13;2.71;
97.65;94.71;0.61;none;-511204.71;-511437.65;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;24.42;40.95;368.05;2.72;
120.56;117.78;0.55;none;-511197.78;-511430.56;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;24.42;40.95;367.07;2.72;
66.84;64.21;0.67;none;-511194.21;-511426.84;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;58.34;17.14;367.07;2.72;
54.00;51.50;0.25;none;-511191.50;-511424.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;58.34;17.14;366.26;2.73;
118.10;115.71;0.16;none;-511185.71;-511418.10;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;58.34;17.14;365.31;2.74;
103.18;100.91;0.17;none;-511180.91;-511413.18;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;58.34;17.14;364.66;2.74;
70.00;77.39;0.24;none;-511177.39;-511410.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;86.77;11.52;364.66;2.74;
345.00;352.08;0.11;none;-511162.08;-511395.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;86.77;11.52;363.66;2.75;
52.80;59.60;0.09;none;-511159.60;-511392.80;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;86.77;11.52;366.73;2.73;
50.77;47.69;0.11;none;-511157.69;-511390.77;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;113.60;8.80;366.73;2.73;
106.67;103.70;0.11;none;-511153.70;-511386.67;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;113.60;8.80;366.23;2.73;
54.64;51.79;0.10;none;-511151.79;-511384.64;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;113.60;8.80;365.01;2.74;
43.10;40.34;0.04;none;-511150.34;-511383.10;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;113.60;8.80;364.26;2.75;
61.00;58.33;0.04;none;-511148.33;-511381.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;70.00;113.60;8.80;363.48;2.75;
49.35;56.45;0.05;none;-511146.45;-511379.35;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;141.97;7.04;363.48;2.75;
-126.56;-119.69;0.04;none;-511150.31;-511383.44;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;141.97;7.04;362.75;2.76;
-64.55;-57.88;0.01;none;-511152.12;-511385.45;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;141.97;7.04;362.04;2.76;
-14.12;-7.65;0.01;none;-511152.35;-511385.88;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;141.97;7.04;361.35;2.77;
-62.29;-56.00;0.02;none;-511154.00;-511387.71;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;141.97;7.04;360.58;2.77;
-21.67;-15.56;0.01;none;-511154.44;-511388.33;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;141.97;7.04;359.99;2.78;
