GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-11.00;11.00;1.00;none;0.00000;0.00000;11.00;1.00;36.00;0.00;1.00;18.00;-1000.00;11.00;0.00;0.00;0.00;0.00;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;829.91;1.20;828.91;1.21;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;2206.74;0.45;2206.24;0.45;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;1589.92;0.63;1589.59;0.63;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1479.12;0.68;1478.87;0.68;
-5.00;5.00;1.00;none;0.00000;0.00000;5.00;1.00;30.00;0.00;1.00;12.00;-1000.00;5.00;1562.62;0.64;1562.42;0.64;
-7.00;8.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;8.00;1887.03;0.53;1886.86;0.53;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;1461.29;0.68;1460.42;0.68;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1371.74;0.73;1370.96;0.73;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1283.58;0.78;1282.98;0.78;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;1218.42;0.82;1217.88;0.82;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1171.77;0.85;1171.27;0.85;
-6.00;6.00;1.00;none;0.00000;0.00000;6.00;1.00;31.00;0.00;1.00;13.00;-1000.00;6.00;1103.42;0.91;1102.96;0.91;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1039.74;0.96;1039.31;0.96;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;1322.68;0.76;1322.35;0.76;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1247.57;0.80;1247.26;0.80;
-9.00;9.00;0.96;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;1194.76;0.84;1194.47;0.84;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1180.02;0.85;1179.74;0.85;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;1122.12;0.89;1121.86;0.89;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;1068.11;0.94;1067.86;0.94;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1026.29;0.97;1026.06;0.97;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;983.46;1.02;983.23;1.02;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;952.09;1.05;951.87;1.05;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;913.66;1.09;913.46;1.09;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;881.20;1.13;881.00;1.14;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;848.88;1.18;848.69;1.18;
-11.00;11.00;1.00;none;0.00000;0.00000;11.00;1.00;36.00;0.00;1.00;18.00;-1000.00;11.00;1101.00;0.91;1100.81;0.91;
-12.00;12.00;1.00;none;0.00000;0.00000;12.00;1.00;37.00;0.00;1.00;19.00;-1000.00;12.00;1034.48;0.97;1034.30;0.97;
-11.00;11.00;1.00;none;0.00000;0.00000;11.00;1.00;36.00;0.00;1.00;18.00;-1000.00;11.00;1034.48;0.97;1034.30;0.97;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;1002.29;1.00;1002.13;1.00;
-12.00;12.00;1.00;none;0.00000;0.00000;12.00;1.00;37.00;0.00;1.00;19.00;-1000.00;12.00;977.37;1.02;977.21;1.02;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;980.49;1.02;980.33;1.02;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;989.51;1.01;989.35;1.01;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1080.34;0.93;1080.20;0.93;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1030.98;0.97;1030.84;0.97;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;1030.98;0.97;1030.84;0.97;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1005.09;0.99;1004.96;1.00;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1046.19;0.96;1046.06;0.96;
-6.00;6.00;1.00;none;0.00000;0.00000;6.00;1.00;31.00;0.00;1.00;13.00;-1000.00;6.00;1029.33;0.97;1029.21;0.97;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1005.90;0.99;1005.77;0.99;
-13.00;13.00;1.00;none;0.00000;0.00000;13.00;1.00;38.00;0.00;1.00;20.00;-1000.00;13.00;1066.32;0.94;1066.20;0.94;
-12.00;12.00;1.00;none;0.00000;0.00000;12.00;1.00;37.00;0.00;1.00;19.00;-1000.00;12.00;1042.70;0.96;1042.58;0.96;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1038.66;0.96;1104.03;0.91;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;1038.66;0.96;1104.03;0.91;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;1055.89;0.95;1119.85;0.89;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1033.55;0.97;1096.14;0.91;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;1013.31;0.99;1074.59;0.93;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;993.22;1.01;1053.25;0.95;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;984.35;1.02;1043.18;0.96;
-5.00;5.00;1.00;none;0.00000;0.00000;5.00;1.00;30.00;0.00;1.00;12.00;-1000.00;5.00;979.16;1.02;1036.84;0.96;
-6.00;5.00;1.06;none;0.00000;0.00000;5.00;1.00;30.00;0.00;1.00;12.00;-1000.00;6.00;962.62;1.04;1019.21;0.98;
-6.00;6.00;1.00;none;0.00000;0.00000;6.00;1.00;31.00;0.00;1.00;13.00;-1000.00;6.00;962.62;1.04;1019.21;0.98;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;996.61;1.00;1052.13;0.95;
-11.00;11.00;1.00;none;0.00000;0.00000;11.00;1.00;36.00;0.00;1.00;18.00;-1000.00;11.00;992.15;1.01;1046.66;0.96;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;975.20;1.03;1028.72;0.97;
-10.00;10.00;1.00;none;0.00000;0.00000;10.00;1.00;35.00;0.00;1.00;17.00;-1000.00;10.00;959.60;1.04;1012.17;0.99;
-13.00;13.00;1.00;none;0.00000;0.00000;13.00;1.00;38.00;0.00;1.00;20.00;-1000.00;13.00;953.54;1.05;1005.18;0.99;
-15.00;15.00;1.00;none;0.00000;0.00000;15.00;1.00;40.00;0.00;1.00;22.00;-1000.00;15.00;965.07;1.04;1015.82;0.98;
