GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-62.00;82.00;1.00;none;0.00;0.00;64.00;1.00;264.00;180.00;1.00;71.00;-1000.00;80.00;299.42;3.34;0.00;0.00;
-102.00;32.00;1.00;none;0.00;0.00;64.00;1.00;264.00;180.00;1.00;71.00;-1000.00;70.00;799.25;1.25;0.00;0.00;
-62.00;82.00;1.00;none;0.00;0.00;64.00;1.00;264.00;180.00;1.00;71.00;-1000.00;80.00;732.74;1.36;0.00;0.00;
-112.00;82.00;1.00;none;0.00;0.00;114.00;1.00;314.00;180.00;1.00;121.00;-1000.00;80.00;732.74;1.36;708.39;1.41;
-162.00;32.00;1.00;none;0.00;0.00;114.00;1.00;314.00;180.00;1.00;121.00;-1000.00;80.00;559.73;1.79;708.39;1.41;
-114.00;34.00;1.00;none;0.00;0.00;68.00;1.00;268.00;180.00;1.00;75.00;-1000.00;80.00;559.73;1.79;629.46;1.59;
-114.00;84.00;1.00;none;0.00;0.00;118.00;1.00;318.00;180.00;1.00;125.00;-1000.00;80.00;483.06;2.07;460.03;2.17;
-111.00;32.00;1.00;none;0.00;0.00;63.00;1.00;263.00;180.00;1.00;70.00;-1000.00;80.00;483.06;2.07;606.58;1.65;
-101.00;32.00;1.00;none;0.00;0.00;63.00;1.00;263.00;180.00;1.00;70.00;-1000.00;70.00;585.38;1.71;606.58;1.65;
-111.00;82.00;1.00;none;0.00;0.00;113.00;1.00;313.00;180.00;1.00;120.00;-1000.00;80.00;574.96;1.74;606.80;1.65;
-58.00;78.00;0.96;none;0.00;0.00;56.00;1.00;256.00;180.00;1.00;63.00;-1000.00;80.00;574.96;1.74;942.94;1.06;
-108.00;78.00;0.58;none;0.00;0.00;106.00;1.00;306.00;180.00;1.00;113.00;-1000.00;80.00;574.96;1.74;812.76;1.23;
-58.00;78.00;0.29;none;0.00;0.00;56.00;1.00;256.00;180.00;1.00;63.00;-1000.00;80.00;574.96;1.74;724.84;1.38;
-98.00;67.00;0.29;none;0.00;0.00;85.00;1.00;285.00;180.00;1.00;92.00;-1000.00;80.00;574.96;1.74;759.92;1.32;
-60.00;81.00;0.04;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;80.00;574.96;1.74;1265.55;0.79;
-103.00;72.00;0.04;none;0.00;0.00;95.00;1.00;295.00;180.00;1.00;102.00;-1000.00;80.00;574.96;1.74;1296.39;0.77;
-53.00;122.00;0.29;none;0.00;0.00;95.00;1.00;295.00;180.00;1.00;102.00;-1000.00;80.00;2244.30;0.45;1296.39;0.77;
-64.00;84.00;0.29;none;0.00;0.00;68.00;1.00;268.00;180.00;1.00;75.00;-1000.00;80.00;2244.30;0.45;1553.75;0.64;
-114.00;84.00;0.24;none;0.00;0.00;118.00;1.00;318.00;180.00;1.00;125.00;-1000.00;80.00;2244.30;0.45;1440.60;0.69;
-64.00;134.00;0.49;none;0.00;0.00;118.00;1.00;318.00;180.00;1.00;125.00;-1000.00;80.00;2079.86;0.48;1440.60;0.69;
-64.00;84.00;0.50;none;0.00;0.00;68.00;1.00;268.00;180.00;1.00;75.00;-1000.00;80.00;2079.86;0.48;1377.77;0.73;
-97.00;66.00;0.49;none;0.00;0.00;83.00;1.00;283.00;180.00;1.00;90.00;-1000.00;80.00;1900.21;0.53;1315.81;0.76;
-53.00;72.00;0.49;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1900.21;0.53;1238.49;0.81;
-101.00;70.00;0.50;none;0.00;0.00;91.00;1.00;291.00;180.00;1.00;98.00;-1000.00;80.00;1900.21;0.53;1234.74;0.81;
-103.00;22.00;0.50;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1900.21;0.53;1172.46;0.85;
-93.00;22.00;0.60;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;70.00;1891.48;0.53;1172.46;0.85;
-91.00;70.00;0.28;none;0.00;0.00;91.00;1.00;291.00;180.00;1.00;98.00;-1000.00;70.00;1891.48;0.53;1138.57;0.88;
-101.00;70.00;0.34;none;0.00;0.00;91.00;1.00;291.00;180.00;1.00;98.00;-1000.00;80.00;1784.95;0.56;1138.57;0.88;
-112.00;32.00;0.34;none;0.00;0.00;64.00;1.00;264.00;180.00;1.00;71.00;-1000.00;80.00;1664.23;0.60;1103.93;0.91;
-102.00;32.00;0.09;none;0.00;0.00;64.00;1.00;264.00;180.00;1.00;71.00;-1000.00;70.00;1580.67;0.63;1103.93;0.91;
-62.00;82.00;0.40;none;0.00;0.00;64.00;1.00;264.00;180.00;1.00;71.00;-1000.00;80.00;1612.42;0.62;1103.93;0.91;
-99.00;69.00;0.40;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;80.00;1612.42;0.62;1510.81;0.66;
-49.00;119.00;0.88;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;80.00;1959.74;0.51;1510.81;0.66;
-99.00;69.00;0.74;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;80.00;1856.24;0.54;1454.20;0.69;
-114.00;35.00;0.74;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;80.00;1856.24;0.54;1484.15;0.67;
-114.00;85.00;0.60;none;0.00;0.00;119.00;1.00;319.00;180.00;1.00;126.00;-1000.00;80.00;1856.24;0.54;1426.74;0.70;
-114.00;35.00;0.60;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;80.00;1856.24;0.54;1387.60;0.72;
-64.00;85.00;0.86;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;80.00;1910.45;0.52;1387.60;0.72;
-104.00;35.00;1.30;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;70.00;1820.41;0.55;1387.60;0.72;
-64.00;85.00;1.57;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;80.00;1738.24;0.58;1387.60;0.72;
-114.00;35.00;1.61;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;80.00;1664.22;0.60;1387.60;0.72;
-104.00;35.00;1.97;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;70.00;1595.93;0.63;1387.60;0.72;
-64.00;85.00;1.93;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;80.00;1504.07;0.66;1387.60;0.72;
-108.00;78.00;2.40;none;0.00;0.00;106.00;1.00;306.00;180.00;1.00;113.00;-1000.00;80.00;1504.07;0.66;1412.77;0.71;
-108.00;28.00;2.39;none;0.00;0.00;56.00;1.00;256.00;180.00;1.00;63.00;-1000.00;80.00;1504.07;0.66;1371.99;0.73;
-108.00;78.00;2.39;none;0.00;0.00;106.00;1.00;306.00;180.00;1.00;113.00;-1000.00;80.00;1504.07;0.66;1327.73;0.75;
-58.00;78.00;2.39;none;0.00;0.00;56.00;1.00;256.00;180.00;1.00;63.00;-1000.00;80.00;1492.23;0.67;1283.74;0.78;
-98.00;28.00;2.34;none;0.00;0.00;56.00;1.00;256.00;180.00;1.00;63.00;-1000.00;70.00;1492.23;0.67;1283.74;0.78;
-58.00;78.00;2.34;none;0.00;0.00;56.00;1.00;256.00;180.00;1.00;63.00;-1000.00;80.00;1440.77;0.69;1283.74;0.78;
-103.00;72.00;1.51;none;0.00;0.00;95.00;1.00;295.00;180.00;1.00;102.00;-1000.00;80.00;1396.32;0.72;1332.67;0.75;
-53.00;122.00;1.51;none;0.00;0.00;95.00;1.00;295.00;180.00;1.00;102.00;-1000.00;80.00;1448.18;0.69;1332.67;0.75;
-53.00;72.00;1.23;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1448.18;0.69;1305.34;0.77;
-103.00;22.00;1.26;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1439.85;0.69;1305.34;0.77;
-103.00;72.00;1.26;none;0.00;0.00;95.00;1.00;295.00;180.00;1.00;102.00;-1000.00;80.00;1396.72;0.72;1304.14;0.77;
-53.00;122.00;1.91;none;0.00;0.00;95.00;1.00;295.00;180.00;1.00;102.00;-1000.00;80.00;1434.25;0.70;1304.14;0.77;
-60.00;81.00;1.93;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;80.00;1434.25;0.70;1346.24;0.74;
-97.00;66.00;1.91;none;0.00;0.00;83.00;1.00;283.00;180.00;1.00;90.00;-1000.00;80.00;1434.25;0.70;1340.59;0.75;
-47.00;116.00;1.95;none;0.00;0.00;83.00;1.00;283.00;180.00;1.00;90.00;-1000.00;80.00;1430.41;0.70;1340.59;0.75;
-53.00;72.00;1.33;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1430.41;0.70;1305.77;0.77;
-103.00;22.00;2.00;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1425.60;0.70;1305.77;0.77;
-109.00;79.00;1.28;none;0.00;0.00;108.00;1.00;308.00;180.00;1.00;115.00;-1000.00;80.00;1388.77;0.72;1346.03;0.74;
-59.00;79.00;1.28;none;0.00;0.00;58.00;1.00;258.00;180.00;1.00;65.00;-1000.00;80.00;1388.77;0.72;1312.48;0.76;
-109.00;29.00;1.28;none;0.00;0.00;58.00;1.00;258.00;180.00;1.00;65.00;-1000.00;80.00;1429.70;0.70;1312.48;0.76;
-101.00;70.00;1.28;none;0.00;0.00;91.00;1.00;291.00;180.00;1.00;98.00;-1000.00;80.00;1429.70;0.70;1353.34;0.74;
-103.00;22.00;0.83;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1429.70;0.70;1331.28;0.75;
-53.00;72.00;1.27;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1408.22;0.71;1331.28;0.75;
-93.00;22.00;1.87;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;70.00;1382.07;0.72;1331.28;0.75;
-103.00;22.00;1.53;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1350.12;0.74;1331.28;0.75;
-96.00;66.00;1.52;none;0.00;0.00;82.00;1.00;282.00;180.00;1.00;89.00;-1000.00;80.00;1350.12;0.74;1312.88;0.76;
-103.00;22.00;0.96;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1350.12;0.74;1282.87;0.78;
-53.00;72.00;1.59;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1322.01;0.76;1282.87;0.78;
-103.00;22.00;2.49;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1330.14;0.75;1282.87;0.78;
-93.00;22.00;2.04;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;70.00;1302.62;0.77;1282.87;0.78;
-53.00;72.00;3.29;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1319.90;0.76;1282.87;0.78;
-103.00;22.00;5.88;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1293.41;0.77;1282.87;0.78;
-152.00;22.00;3.31;none;0.00;0.00;94.00;1.00;294.00;180.00;1.00;101.00;-1000.00;80.00;1293.41;0.77;1380.00;0.72;
-93.00;22.00;2.10;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;70.00;1268.23;0.79;1349.77;0.74;
-53.00;72.00;2.50;none;0.00;0.00;45.00;1.00;245.00;180.00;1.00;52.00;-1000.00;80.00;1245.74;0.80;1349.77;0.74;
