GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-219.00;-341.00;122.00;122.00;122122.00;36.60;122.00;244.00;210.00;0.00;0.00;0.00;0.00;
-10.00;10.50;-208.50;-351.00;142.50;142.50;142642.50;42.75;142.50;285.00;210.00;796.01;1.26;124.92;8.00;
-15.33;-1.67;-209.33;-358.67;149.33;149.33;149482.67;44.80;149.33;298.67;210.00;796.01;1.26;156.90;6.37;
3.50;13.75;-204.75;-357.50;152.75;152.75;152902.75;45.83;152.75;305.50;210.00;624.28;1.60;156.90;6.37;
14.80;19.00;-200.00;-353.80;153.80;153.80;153953.80;46.14;153.80;307.60;210.00;624.28;1.60;192.88;5.18;
4.83;3.33;-199.33;-352.83;153.50;153.50;153653.50;46.05;153.50;307.00;210.00;624.28;1.60;174.89;5.72;
12.71;11.43;-197.43;-350.71;153.29;153.29;153439.00;45.99;153.29;306.57;210.00;535.42;1.87;174.89;5.72;
0.63;-1.38;-197.63;-350.63;153.00;153.00;153153.00;45.90;153.00;306.00;210.00;535.42;1.87;348.31;2.87;
18.33;16.56;-195.56;-348.33;152.78;152.78;152930.56;45.83;152.78;305.56;190.00;664.22;1.51;348.31;2.87;
16.50;14.90;-193.90;-346.50;152.60;152.60;152752.60;45.78;152.60;305.20;210.00;664.22;1.51;348.31;2.87;
50.45;-0.09;-193.91;-341.45;147.55;147.55;147693.00;44.26;147.55;295.09;210.00;664.22;1.51;329.03;3.04;
27.92;-18.42;-195.58;-338.92;143.33;143.33;143476.67;43.00;143.33;286.67;210.00;606.90;1.65;329.03;3.04;
16.54;-26.23;-197.77;-337.54;139.77;139.77;139909.00;41.93;139.77;279.54;210.00;736.52;1.36;329.03;3.04;
43.21;3.50;-197.50;-334.21;136.71;136.71;136851.00;41.01;136.71;273.43;210.00;686.05;1.46;329.03;3.04;
0.20;21.00;-196.00;-334.20;138.20;138.20;138338.20;41.46;138.20;276.40;210.00;686.05;1.46;542.39;1.84;
16.13;27.19;-194.19;-333.13;138.94;138.94;139076.44;41.68;138.94;277.88;210.00;686.05;1.46;491.45;2.03;
-3.65;6.76;-193.76;-333.35;139.59;139.59;139727.82;41.88;139.59;279.18;210.00;641.14;1.56;491.45;2.03;
-3.44;-2.11;-193.89;-333.56;139.67;139.67;139806.33;41.90;139.67;279.33;210.00;641.14;1.56;554.14;1.80;
-19.37;-2.00;-194.00;-334.63;140.63;140.63;140772.21;42.19;140.63;281.26;210.00;641.14;1.56;554.14;1.80;
0.60;17.10;-193.10;-334.60;141.50;141.50;141641.50;42.45;141.50;283.00;210.00;679.38;1.47;554.14;1.80;
12.95;28.67;-191.67;-333.95;142.29;142.29;142428.00;42.69;142.29;284.57;210.00;679.38;1.47;522.31;1.91;
3.77;11.14;-191.14;-333.77;142.64;142.64;142779.00;42.79;142.64;285.27;210.00;679.38;1.47;484.78;2.06;
