LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
08:35:07.273800;10:35:07.044942;16025.30;16027.40;16027.42;16028.79;0.00;0.00;37.98;26.33;0.00;0.00;
08:35:07.607028;10:35:07.607028;16025.50;16027.60;16027.45;16029.01;-1.00;8.50;212.68;4.70;292.82;3.42;
08:35:08.000427;10:35:08.000427;16025.60;16027.70;16027.45;16029.01;6.00;12.33;257.86;3.88;292.82;3.42;
08:35:08.402181;10:35:08.263265;16026.20;16028.30;16027.97;16029.50;12.75;15.25;258.86;3.86;441.77;2.26;
08:35:08.620556;10:35:08.620556;16026.00;16028.10;16027.97;16029.50;-5.80;-3.80;275.26;3.63;441.77;2.26;
08:35:08.843418;10:35:08.620556;16026.00;16028.10;16028.28;16029.50;-4.83;-29.00;275.26;3.63;523.54;1.91;
08:35:08.916374;10:35:08.873401;16026.50;16028.60;16028.28;16029.69;22.43;18.00;272.06;3.68;523.54;1.91;
08:35:08.994325;10:35:08.873401;16026.50;16028.60;16028.15;16029.57;30.13;27.13;272.06;3.68;430.38;2.32;
08:35:09.183210;10:35:09.183210;16026.00;16028.10;16028.15;16029.57;-17.67;-20.33;276.78;3.61;430.38;2.32;
08:35:09.242172;10:35:09.183210;16026.00;16028.10;16027.92;16029.55;-14.10;2.40;276.78;3.61;385.28;2.60;
08:35:09.550981;10:35:09.550981;16025.80;16027.90;16027.92;16029.55;-31.00;-16.00;286.89;3.49;385.28;2.60;
08:35:10.400458;10:35:10.400458;16026.30;16028.40;16027.92;16029.55;17.42;31.17;343.15;2.91;385.28;2.60;
08:35:10.609328;10:35:10.400458;16026.30;16028.40;16028.22;16029.55;16.08;1.08;343.15;2.91;556.09;1.80;
08:35:10.679286;10:35:10.400458;16026.30;16028.40;16028.22;16029.74;-2.71;1.00;343.15;2.91;556.09;1.80;
08:35:10.809205;10:35:10.400458;16026.30;16028.40;16028.42;16029.74;-2.53;-17.73;343.15;2.91;505.06;1.98;
08:35:10.879162;10:35:10.830192;16026.00;16028.10;16028.42;16030.05;-59.56;-44.75;351.02;2.85;505.06;1.98;
08:35:11.080038;10:35:11.080038;16026.50;16028.60;16028.42;16030.05;-9.00;4.94;342.59;2.92;505.06;1.98;
08:35:11.479791;10:35:11.080038;16026.50;16028.60;16029.00;16029.71;23.61;-50.11;342.59;2.92;525.75;1.90;
08:35:11.581729;10:35:11.560741;16026.70;16028.80;16028.43;16030.03;11.00;25.47;353.21;2.83;477.33;2.10;
08:35:11.856559;10:35:11.856559;16026.50;16028.60;16028.43;16030.03;-8.55;5.20;349.11;2.86;477.33;2.10;
08:35:12.188354;10:35:12.188354;16026.60;16028.70;16028.43;16030.03;1.38;14.48;347.96;2.87;477.33;2.10;
08:35:12.261309;10:35:12.188354;16026.60;16028.70;16028.17;16029.54;48.09;38.64;347.96;2.87;496.25;2.02;
08:35:12.367245;10:35:12.188354;16026.60;16028.70;16028.53;16029.94;7.74;2.52;347.96;2.87;459.13;2.18;
08:35:12.508157;10:35:12.508157;16026.00;16028.10;16028.53;16029.94;-50.08;-55.08;346.20;2.89;459.13;2.18;
08:35:13.381617;10:35:12.508157;16026.00;16028.10;16028.85;16029.94;-48.08;-83.60;346.20;2.89;508.90;1.97;
08:35:13.462568;10:35:12.508157;16026.00;16028.10;16028.85;16029.86;-38.54;-80.38;346.20;2.89;508.90;1.97;
08:35:13.582495;10:35:12.508157;16026.00;16028.10;16028.89;16029.58;-10.15;-81.26;346.20;2.89;485.21;2.06;
08:35:13.651451;10:35:13.590488;16026.70;16028.80;16028.89;16029.58;57.71;-10.86;389.50;2.57;485.21;2.06;
08:35:13.770377;10:35:13.770377;16026.60;16028.70;16028.89;16029.58;46.07;-20.14;377.85;2.65;485.21;2.06;
08:35:14.186120;10:35:14.186120;16026.30;16028.40;16028.89;16029.58;15.53;-48.47;379.85;2.63;485.21;2.06;
08:35:14.265073;10:35:14.186120;16026.30;16028.40;16027.99;16029.73;0.52;40.19;379.85;2.63;495.16;2.02;
08:35:14.501926;10:35:14.500926;16026.10;16028.20;16027.99;16029.73;-18.88;19.56;376.60;2.66;495.16;2.02;
08:35:14.588876;10:35:14.500926;16026.10;16028.20;16028.29;16029.18;35.03;-10.12;376.60;2.66;487.61;2.05;
08:35:14.760765;10:35:14.760765;16026.00;16028.10;16028.29;16029.18;24.29;-19.53;371.04;2.70;487.61;2.05;
08:35:15.463339;10:35:15.463339;16026.10;16028.10;16028.29;16029.18;33.31;-9.26;386.06;2.59;487.61;2.05;
